Blockchain Company,ICO Size (in millions),Market Capitalization
Counterparty, $ 1.79 ,"6,365,209.82"
Countinghouse Fund, $ 4.72 ,"1,530,122.88"
Covesting, $ 18.75 ,"8,579,681"
Covesting, $ 18.75 ,"8,518,637"
CPChain, $ 30.00 ,"8,138,115"
Creativechain, $ 0.35 ,
Crederoom (CDRT), $ 5.13 ,
Credit Protocol, $ 15.30 ,"427,260"
CREDITS, $ 22.57 ,"14,369,225"
Crowd Genie, $ 5.55 ,
CrowdCoinage (CCOS), $ 6.00 ,
Crowdwiz (WIZ), $ 7.23 ,"1,218,614"
CrowdWiz (WIZ) Pre-Sale, $ 5.39 ,"1,218,614"
CRYCASH, $ 7.76 ,"236,445.43"
CryptalDash Exchange (CRD), $ 15.29 ,"7,373,057.78"
Crypterium (CRPT), $ 51.66 ,"19,998,081"
Crypto 20 (C20), $ 34.93 ,"155,420,261"
Crypto.tickets, $ 1.75 ,
CryptoAds,3.23,"3,567,650.07"
Cryptopay (CPAY), $ 18.03 ,"6,011,340"
CryptoPing, $ 0.39 ,"2,044,483"
Cryptosolartech,68.98,"1,058,221.00"
CrypViser, $ 3.93 ,
Crystal Clear, $ 3.50 ,
Cubaaz, $ 20.45 ,
Current (CRNC), $ 36.00 ,
CVProof (INK), $ 15.00 ,
CyberMiles (CMT), $ 34.37 ,"15,003,955"
CyberTrust (CABS), $ 17.60 ,
Cypherium, $ 25.00 ,
DacPlay, $ 0.59 ,
dadi, $ 29.00 ,
Dank Signals, $ 3.43 ,
DAOstack, $ 30.00 ,"4,123,147"
Darcrus, $ 0.30 ,
DATA (DTA), $ 38.00 ,"8,199,830"
Datarius, $ 1.61 ,"107,684.80"
DataWallet (DXT), $ 40.00 ,"434,524.97"
Datum (DAT), $ 7.42 ,"5,652,311"
DAV Network, $ 28.51 ,"2,025,595"
Dbrain, $ 2.50 ,
DCC, $ 26.20 ,"2,510,853.00"
DCORP, $ 5.05 ,"81,506.24"
Debitum Network, $ 17.20 ,"987,402"
DeepBrain Chain, $ 11.76 ,"120,441,392"
DEEX (DEEX), $ 9.90 ,"1,531,266"
Denaro (DNO), $ 8.60 ,
Dentacoin, $ 1.92 ,"328,281,801"
DetectorToken, $ 0.29 ,
Dether, $ 13.44 ,"1,231,818.88"
Devery (EVE), $ 10.00 ,"540,915"
Devery Pre-sale, $ 1.33 ,"544,183"
Devnetwork (DEV), $ 8.10 ,
Dfinity, $ 3.75 ,
Digital Credit,1.16,
Digitex Futures Exchange (DGTX), $ 7.00 ,"15,060,020.56"
DigixGlobal, $ 5.50 ,"4,625,978"
DimCoin, $ 4.70 ,
Disciplina,13.92,"2,676,823.17"
district0x Network, $ 13.19 ,"177,285,632"
DMarket, $ 11.97 ,"42,347,692"
DMarket (DMT), $ 16.18 ,"40,806,324"
DML, $ 10.43 ,"166,037"
doc.ai (NRN), $ 13.75 ,
Docademic, $ 1.10 ,"3,131,330"
Dock.Io (DOCK), $ 20.00 ,"63,264,653"
DomRaider, $ 49.09 ,"4,063,507"
Dorado, $ 20.00 ,no data
Dovu, $ 9.09 ,"18,642,164"
Dragon, $ 320.00 ,"1,680,652"
Dragonchain, $ 13.19 ,"64,657,363"
DRG Token, $ 3.93 ,"1,656,039"
E4ROW, $ 0.86 ,
Earth Token (ETN), $ 5.00 ,"2,609,115.00"
EBCoin, $ 8.52 ,"1,853,829"
EcoBit, $ 3.49 ,
EdenChain, $ 1.90 ,
Edgeless, $ 2.65 ,"693,229"
Effect.Ai (EFX), $ 13.60 ,"24,866,114"
Eidoo, $ 27.22 ,
EiraCube, $ 0.91 ,
Elastic, $ 0.42 ,
Elastos (ELA), $ 70.00 ,"118,946,321"
Electrify.Asia (ELEC), $ 30.00 ,"1,194,330"
Electroneum (ETN), $ 40.95 ,"192,372,026"
Eligma, $ 10.06 ,"18,291,687.06"
Embermine, $ 0.08 ,
EncryptoTel, $ 4.52 ,"181,548.11"
Endor (EDR), $ 45.00 ,"51,291,642"
Energi Token (ETK), $ 15.00 ,"77,250.00"
